con,joint,peak,sub,value
pg,hip,min,2,168.980797389255
pg,hip,min,3,147.457845138101
pg,hip,min,4,154.041753711139
pg,hip,min,5,158.659736840865
pg,hip,min,6,158.39398765564
pg,hip,min,7,158.570265079947
pg,hip,min,8,167.486724601423
pg,hip,min,9,161.232067616968
pg,hip,min,10,158.099120515936
pg,hip,min,11,159.091537025676
pg,hip,min,12,169.899227393024
pg,hip,min,13,160.384761860791
pg,hip,min,14,163.726973245144
pg,ank,rom,1,36.0744384877822
pg,ank,rom,2,35.3217367985669
pg,ank,rom,3,32.2637088929906
pg,ank,rom,4,41.8635755987728
pg,ank,rom,5,31.4061679349226
pg,ank,rom,6,37.7373465439853
pg,ank,rom,7,36.3985717717339
pg,ank,rom,8,40.033320721458
pg,ank,rom,9,35.8093400282018
pg,ank,rom,10,43.3138670640833
pg,ank,rom,11,34.9202821605346
pg,ank,rom,12,40.1789677423589
pg,ank,rom,13,35.8482435170342
pg,ank,rom,14,35.8953489135293
pg,kne,rom,1,26.6045946654151
pg,kne,rom,2,29.9799601470723
pg,kne,rom,3,26.619966079207
pg,kne,rom,4,31.5021710527294
pg,kne,rom,5,21.7343807781444
pg,kne,rom,6,31.1187984873267
pg,kne,rom,7,27.7852923589594
pg,kne,rom,8,31.6430020086906
pg,kne,rom,9,24.6097081549027
pg,kne,rom,10,34.4130031738211
pg,kne,rom,11,30.1296551332754
pg,kne,rom,12,28.9415740372942
pg,kne,rom,13,24.288413913811
pg,kne,rom,14,23.9367205014124
pg,hip,rom,1,3.96140091559466
pg,hip,rom,2,9.6459550763316
pg,hip,rom,3,10.2142416168662
pg,hip,rom,4,12.6460848976584
pg,hip,rom,5,6.22943632742938
pg,hip,rom,6,10.7868975471048
pg,hip,rom,7,11.6291118018767
pg,hip,rom,8,14.8224390758174
pg,hip,rom,9,14.9797047008486
pg,hip,rom,10,15.3807883665842
pg,hip,rom,11,13.0171926477376
pg,hip,rom,12,6.79790829910952
pg,hip,rom,13,9.47306334972382
pg,hip,rom,14,7.47445493585923
